dimension,p,dataset_index,D_S_mc,D_E_mc,D_mc,D_gram,absolute_bridge_error,gap_mc,gap_gram
2,0.2,0,1.3024723916938932e-20,1.0031244360380662,1.0031244360380662,1.0,0.003124436038066225,-0.5031244360380662,-0.5
2,0.2,1,1.4689340959210606e-20,1.0079538686389706,1.0079538686389706,1.0,0.00795386863897063,-0.5079538686389706,-0.5
2,0.2,2,1.505371213210666e-20,1.0047145918594886,1.0047145918594886,1.0,0.004714591859488637,-0.5047145918594886,-0.5
2,0.2,3,1.3927530697190202e-20,1.0040736355256537,1.0040736355256537,1.0,0.004073635525653652,-0.5040736355256537,-0.5
2,0.2,4,1.5601412764059183e-20,1.0112045513220758,1.0112045513220758,1.0,0.011204551322075762,-0.5112045513220758,-0.5
2,0.2,5,1.6536254919759224e-20,0.9906238534090064,0.9906238534090064,1.0,0.009376146590993617,-0.4906238534090064,-0.5
2,0.2,6,1.883820727368828e-20,0.995825934144008,0.995825934144008,1.0,0.004174065855992004,-0.495825934144008,-0.5
2,0.2,7,1.2679617808083964e-20,0.995823886484559,0.995823886484559,1.0,0.0041761135154410045,-0.495823886484559,-0.5
2,0.2,8,1.496749484260053e-20,1.0120876169786994,1.0120876169786994,1.0,0.012087616978699423,-0.5120876169786994,-0.5
2,0.2,9,1.509999726557397e-20,0.9941420593555226,0.9941420593555226,1.0,0.005857940644477422,-0.4941420593555226,-0.5
2,0.2,10,1.1714254315293809e-20,1.0058867365957345,1.0058867365957345,1.0,0.005886736595734465,-0.5058867365957345,-0.5
2,0.2,11,1.2279624825392936e-20,1.0016394320614872,1.0016394320614872,1.0,0.0016394320614872004,-0.5016394320614872,-0.5
2,0.2,12,1.772448873901061e-20,1.0057059200090515,1.0057059200090515,1.0,0.005705920009051457,-0.5057059200090515,-0.5
2,0.2,13,1.176610996958449e-20,0.9989211953729349,0.9989211953729349,1.0,0.0010788046270651108,-0.4989211953729349,-0.5
2,0.2,14,1.8250536675594967e-20,1.005322769425629,1.005322769425629,1.0,0.005322769425629037,-0.505322769425629,-0.5
2,0.2,15,1.3881752139764944e-20,0.9997906870096702,0.9997906870096702,1.0,0.00020931299032977968,-0.4997906870096702,-0.5
2,0.2,16,1.1125023228277675e-20,0.9969954444350979,0.9969954444350979,1.0,0.0030045555649020894,-0.4969954444350979,-0.5
2,0.2,17,2.2337935652890452e-20,0.9999000090635494,0.9999000090635494,1.0,9.99909364506335e-05,-0.49990000906354937,-0.5
2,0.2,18,1.4994908506354667e-20,1.0030829387900884,1.0030829387900884,1.0,0.003082938790088363,-0.5030829387900884,-0.5
2,0.2,19,1.254915198540377e-20,0.9885571704020846,0.9885571704020846,1.0,0.011442829597915427,-0.4885571704020846,-0.5
2,0.2,20,1.530688064466016e-20,0.9968678898889844,0.9968678898889844,1.0,0.0031321101110155514,-0.49686788988898445,-0.5
