p,dataset_index,best_initialization,g12,g13,g23,D,deployed_gap,empirical_loss,gradient_norm,v1_1,v1_2,v1_3,v2_1,v2_2,v2_3,v3_1,v3_2,v3_3
0.5,17,2,4.91474676943971e-21,0.0,5.5520106391066874e-21,-6.372638696669772e-22,0.5,5.162364189927791e-21,9.388913947654406e-11,0.4733154582150866,-0.7644257284313005,0.43775082264562115,0.7606223429178324,0.6053159774781733,0.23461930624701585,-0.44432660112685485,0.22191411193761204,0.8679446978085631
0.5,18,0,7.599616247218703e-24,1.0833355937178202e-34,9.55704341430393e-21,-9.54944379805671e-21,0.5,4.525896908638262e-21,9.152086251210305e-11,0.4929832031576914,-0.031096447481498646,-0.8694829339086609,0.8624587341547485,0.1490971817030465,0.48366823576538254,0.11459709117704435,-0.9883334666666925,0.1003218089966386
0.5,19,1,8.855046110956408e-21,7.703719777548943e-34,1.0889765670159528e-21,7.766069543940456e-21,0.5,4.7590770466966225e-21,9.509532526568433e-11,0.9490164192732125,0.20246099446920218,-0.24161411727875515,0.08007145742369717,-0.8961648574863541,-0.4364368338173437,-0.30488751637281386,0.3948393267340504,-0.8666865110431908
0.5,20,2,9.322348144514188e-21,7.703719777548943e-34,1.2977068330167268e-21,8.024641311497462e-21,0.5,4.984598348491032e-21,9.396833605062916e-11,-0.15797475721622872,-0.986432749754664,0.04465877622513133,0.48583028109299214,-0.038271450847475595,0.8732148842198773,-0.859658603191004,0.15964249513757828,0.4852848232800407
0.5,21,1,8.886387077186702e-21,1.925929944387236e-34,7.384237067881518e-25,8.885648653479914e-21,0.5,4.342650396467787e-21,9.074871167782997e-11,-0.9864800591433354,0.1399358006431253,-0.0852939893012943,-0.0616762565211176,-0.799209209313877,-0.5978801544870253,0.151832579855438,0.5845362361944442,-0.7970346644093186
0.5,22,2,5.774969367275608e-22,3.6412113011071178e-34,8.594117942507627e-21,-8.016621005780066e-21,0.5,4.700720687170073e-21,9.070126498151959e-11,0.13652162497515374,0.5019041913334362,-0.8540808091955193,0.061019937494594986,-0.8647764892846763,-0.49843574391151557,-0.9887559927267624,0.015931300192224634,-0.14868685389468692
0.5,23,7,2.156989838050277e-23,3.0814879110195774e-33,1.0169151852625264e-20,-1.0147581954244761e-20,0.5,4.823593450566658e-21,9.414483127050904e-11,0.526972517495737,0.8490584218851809,0.03741339372539529,0.11671430441621053,-0.11590371751960848,0.9863792878045317,-0.8418299928895726,0.5154280982638088,0.1601753370269458
0.5,24,3,8.863017917251384e-21,3.0814879110195774e-33,9.653278310352541e-23,8.766485134147858e-21,0.5,4.379715436391521e-21,9.034106195903703e-11,0.9387772523098704,0.2999080902978507,-0.16956534999647307,0.13557388193038494,0.13088579973668538,0.9820838202341053,0.3167285794820795,-0.9449465830359742,0.08221290742882649
0.5,25,3,4.168821013078216e-21,3.0814879110195774e-33,4.010395472229575e-21,1.5842554084864145e-22,0.5,4.114980903697166e-21,9.048958598004553e-11,0.7465843508904686,0.4888849208096207,-0.4512242693056622,0.09611437141991254,-0.7503803687176239,-0.6539811387568895,-0.6583113508019839,0.4448829469121789,-0.6072111074017033
0.5,26,2,6.78967366669633e-21,1.232595164407831e-32,2.7389235072120667e-21,4.0507501594842636e-21,0.5,4.707029655858304e-21,9.124151139019993e-11,-0.6275346873860121,-0.5569805804634429,-0.5440338676166644,-0.10630882938301855,0.7534954407034935,-0.6488012435517218,-0.7712967320707224,0.34930968189740796,0.5320564793607498
0.5,27,0,3.606492423411656e-22,3.0814879110195774e-33,8.391172349549499e-21,-8.030523107208333e-21,0.5,4.41190267138019e-21,9.00445170926949e-11,-0.033942461972270965,0.34514957996160894,0.9379337272577343,-0.9739331010252137,-0.22202689374714782,0.04645829506561707,-0.224281573120565,0.9119077946103623,-0.34368874012313794
0.5,28,2,1.2325736016961736e-21,3.0814879110195774e-33,7.712314593347307e-21,-6.479740991651134e-21,0.5,4.4914077980721146e-21,9.175941263620085e-11,-0.6623896254635273,0.5198557933732183,-0.5394348321851212,-0.6945767911204546,-0.6959678969645053,0.18218607968672088,-0.28071883676918064,0.495357083784978,0.8220816834275049
0.5,29,3,2.3662986767792463e-21,0.0,8.41366807018046e-21,-6.047369393401214e-21,0.5,5.420046719568196e-21,9.350472013644823e-11,0.5577732433651968,0.6337610291034985,0.5359439961185717,-0.8272999136639594,0.3725400888203747,0.4204625251711654,0.06681213865928921,-0.6779091680616817,0.7321033383243726
0.5,30,6,7.065991780222846e-21,3.0814879110195774e-33,2.9335776747784753e-21,4.1324141054443715e-21,0.5,4.988113036401641e-21,9.264867205635846e-11,-0.7290127852230436,-0.612434425760177,0.30571953343733704,0.21060135482835182,0.2242846554908005,0.951495382361804,-0.6512967283326062,0.7580372467739861,-0.03452686152198695
0.5,31,0,1.6647375167314928e-22,0.0,1.0025682918172994e-20,-9.859209166499845e-21,0.5,4.848340444075686e-21,9.259936870396633e-11,0.22422021456475683,-0.39939625388246175,0.8889364025424938,0.9734720790140865,0.04913063774458012,-0.22346877145320104,0.04557857790431112,0.9154609837830231,0.3998171837318155
