N,p,dataset_index,empirical_g12,empirical_g13,empirical_g23,population_max_gram_error
256,0.35,22,0.24930383484193885,0.061331422288302184,0.5123465505349811,0.7506961651580611
256,0.35,23,0.6333890982831114,0.03568760336843624,0.19734473882576103,0.3666109017168886
256,0.35,24,0.9836367487524296,0.0021459310968411915,0.006697453841015832,0.01636325124757043
256,0.35,25,0.3458293191117874,0.047777449171799935,0.4365365334945298,0.6541706808882126
256,0.35,26,1.0,0.0,0.0,0.0
256,0.35,27,0.7830632869056807,0.0480586467019431,0.06783038712885492,0.21693671309431928
256,0.35,28,0.9640479216727277,0.008014228299420167,0.010191059338687247,0.03595207832727232
256,0.35,29,1.0,0.0,0.0,0.0
256,0.35,30,0.7659104348334146,0.044619650948552636,0.08297099173965305,0.2340895651665854
256,0.35,31,1.0,0.0,0.0,0.0
256,0.35,32,1.0,0.0,0.0,0.0
256,0.35,33,1.0,0.0,0.0,0.0
256,0.35,34,1.0,0.0,0.0,0.0
256,0.35,35,1.0,0.0,0.0,0.0
256,0.35,36,1.0,0.0,0.0,0.0
256,0.35,37,1.0,0.0,0.0,0.0
256,0.35,38,0.6580525333235212,0.04198773685845636,0.16494280775529035,0.3419474666764788
256,0.35,39,1.0,0.0,0.0,0.0
256,0.35,40,0.7461579832570955,0.04719842304065436,0.09249537419054232,0.2538420167429045
256,0.35,41,0.8638109069455823,0.028506931057579954,0.042773558852534976,0.13618909305441773
256,0.35,42,1.0,0.0,0.0,0.0
256,0.35,43,1.0,0.0,0.0,0.0
256,0.35,44,0.7863680939900519,0.026495088826059998,0.0971545119714054,0.21363190600994808
256,0.35,45,1.0,0.0,0.0,0.0
256,0.35,46,1.0,0.0,0.0,0.0
256,0.35,47,1.0,0.0,0.0,0.0
256,0.35,48,0.4497047590056653,0.05556485684133333,0.3167883860432169,0.5502952409943347
256,0.35,49,1.0,0.0,0.0,0.0
256,0.35,50,1.0,0.0,0.0,0.0
256,0.35,51,1.0,0.0,0.0,0.0
256,0.35,52,1.0,0.0,0.0,0.0
256,0.35,53,1.0,0.0,0.0,0.0
256,0.35,54,1.0,0.0,0.0,0.0
256,0.35,55,0.643035089943673,0.05819290869376337,0.14928797702454094,0.356964910056327
256,0.35,56,1.0,0.0,0.0,0.0
256,0.35,57,1.0,0.0,0.0,0.0
256,0.35,58,1.0,0.0,0.0,0.0
256,0.35,59,1.0,0.0,0.0,0.0
256,0.35,60,1.0,0.0,0.0,0.0
256,0.35,61,1.0,0.0,0.0,0.0
256,0.35,62,1.0,0.0,0.0,0.0
256,0.35,63,1.0,0.0,0.0,0.0
256,0.35,64,0.5708123111054284,0.08753408312395672,0.1618172048518281,0.4291876888945716
256,0.35,65,1.0,0.0,0.0,0.0
256,0.35,66,1.0,0.0,0.0,0.0
256,0.35,67,1.0,0.0,0.0,0.0
256,0.35,68,0.9425318113836462,0.008670059035315203,0.02198865264235139,0.05746818861635383
256,0.35,69,1.0,0.0,0.0,0.0
256,0.35,70,1.0,0.0,0.0,0.0
256,0.35,71,1.0,0.0,0.0,0.0
256,0.35,72,0.716560128195487,0.037814975959363784,0.12788975510334838,0.283439871804513
256,0.35,73,1.0,0.0,0.0,0.0
256,0.35,74,1.0,0.0,0.0,0.0
256,0.35,75,0.5979354488983343,0.05983306250595943,0.18120101359689855,0.4020645511016657
256,0.35,76,1.0,0.0,0.0,0.0
256,0.35,77,0.7453505266703895,0.026006738133705132,0.12873459826631184,0.2546494733296105
256,0.35,78,1.0,0.0,0.0,0.0
256,0.35,79,1.0,0.0,0.0,0.0
256,0.35,80,1.0,0.0,0.0,0.0
256,0.35,81,0.633055176775695,0.03775002237788749,0.19327164341958214,0.366944823224305
256,0.35,82,1.0,0.0,0.0,0.0
256,0.35,83,1.0,0.0,0.0,0.0
256,0.35,84,1.0,0.0,0.0,0.0
256,0.35,85,1.0,0.0,0.0,0.0
256,0.35,86,1.0,0.0,0.0,0.0
256,0.35,87,1.0,0.0,0.0,0.0
256,0.35,88,0.8022849355259145,0.03717125393183501,0.06949494636792564,0.1977150644740855
256,0.35,89,0.9114915444808348,0.011067556047862137,0.03818657328838104,0.0885084555191652
256,0.35,90,0.8049034734308762,0.032726189736453914,0.07404344771629812,0.1950965265691238
256,0.35,91,0.9055121373401153,0.015242925107675998,0.03517587911763442,0.09448786265988474
256,0.35,92,1.0,0.0,0.0,0.0
256,0.35,93,1.0,0.0,0.0,0.0
256,0.35,94,1.0,0.0,0.0,0.0
256,0.35,95,1.0,0.0,0.0,0.0
256,0.35,96,1.0,0.0,0.0,0.0
256,0.35,97,1.0,0.0,0.0,0.0
256,0.35,98,0.518761543772312,0.08162295783050888,0.21070458736581077,0.481238456227688
256,0.35,99,0.9337618313663805,0.01340018794310649,0.020672085372935745,0.06623816863361953
256,0.3819660112501051,0,1.0,0.0,0.0,0.0
256,0.3819660112501051,1,0.3354325113965399,0.08603724456949546,0.3714547234700711,0.66456748860346
256,0.3819660112501051,2,0.6086992944456016,0.04156676676015336,0.20551402057801005,0.39130070555439844
256,0.3819660112501051,3,1.0,0.0,0.0,0.0
256,0.3819660112501051,4,0.519530498924541,0.038304553442791156,0.290181696868993,0.48046950107545905
256,0.3819660112501051,5,1.0,0.0,0.0,0.0
256,0.3819660112501051,6,1.0,0.0,0.0,0.0
256,0.3819660112501051,7,1.0,0.0,0.0,0.0
256,0.3819660112501051,8,1.0,0.0,0.0,0.0
256,0.3819660112501051,9,0.7514600436818356,0.02621079712412827,0.12363462286684296,0.2485399563181644
256,0.3819660112501051,10,1.0,0.0,0.0,0.0
256,0.3819660112501051,11,1.0,0.0,0.0,0.0
256,0.3819660112501051,12,1.0,0.0,0.0,0.0
256,0.3819660112501051,13,0.7316742704448538,0.07631600344039091,0.06840417109856167,0.2683257295551462
