p,p_index,dataset_index,A,B,C,empirical_optimum,empirical_g12,empirical_g13,empirical_g23,theory_optimum,theory_g12,theory_g13,theory_g23,theory_D,best_initialization,alpha,beta,g12,g13,g23,D,deployed_gap,optimization_error,gram_error_to_empirical,gram_error_to_population,gradient_norm
0.0,0,48,0.0,1.0057513079074796,0.9803293217103751,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7,1.5707963267482854,1.570796326794782,1.0,2.172605886660184e-21,1.3141469465860288e-26,1.0,-0.5,2.185114095043817e-21,2.172605886660184e-21,2.172605886660184e-21,9.375859218131691e-11
0.0,0,49,0.0,1.046390928390426,0.9860136995833213,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1.5707963267905314,1.5707963268416807,1.0,1.9055286388251737e-23,2.1887492891855162e-21,1.0,-0.5,2.178076062904724e-21,2.1887492891855162e-21,2.1887492891855162e-21,9.225946964268992e-11
0.05,1,0,0.06060887987628179,0.9547672695405313,0.9416552629320235,0.06060887987628179,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267455916,1.5707963268547744,1.0,2.430989509197879e-21,3.585353232072867e-21,1.0,-0.5,0.0,3.585353232072867e-21,3.585353232072867e-21,9.953362244635915e-11
0.05,1,1,0.055165253953355774,1.027693083705259,0.9340665509499582,0.055165253953355774,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268211584,1.5707963267386416,1.0,6.896832068329149e-22,3.1646319882586035e-21,1.0,-0.5,0.0,3.1646319882586035e-21,3.1646319882586035e-21,9.598781374054238e-11
0.05,1,2,0.049994529008715684,1.0074415132891759,0.9703124539753619,0.049994529008715684,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268188578,1.570796326741827,1.0,5.741398805529747e-22,2.8163835042616744e-21,1.0,-0.5,0.0,2.8163835042616744e-21,2.8163835042616744e-21,9.528596725137687e-11
0.05,1,3,0.053312495678373144,1.0125339940079374,0.9718538452884403,0.053312495678373144,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268331735,1.5707963267417966,1.0,1.465119231960148e-21,2.819613196484638e-21,1.0,-0.5,0.0,2.819613196484638e-21,2.819613196484638e-21,9.34678750558295e-11
0.05,1,4,0.04008604953812541,1.0218308065340134,0.9291955497296136,0.04008604953812541,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267745841,1.570796326851445,1.0,4.125968293804132e-22,3.1977308609658637e-21,1.0,-0.5,0.0,3.1977308609658637e-21,3.1977308609658637e-21,9.892709170359608e-11
0.05,1,5,0.05554091576673481,1.0013915228842174,0.9617014564141353,0.05554091576673481,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268327452,1.5707963267418663,1.0,1.4325128809388213e-21,2.812213576414151e-21,1.0,-0.5,0.0,2.812213576414151e-21,2.812213576414151e-21,9.190365883812716e-11
0.05,1,6,0.05303263803877615,0.9384667733833832,0.9194389788192247,0.05303263803877615,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268365077,1.5707963267365341,1.0,1.731483454346452e-21,3.40617991630691e-21,1.0,-0.5,0.0,3.40617991630691e-21,3.40617991630691e-21,9.671776544031934e-11
0.05,1,7,0.06287792866199625,1.0153843128517943,0.9912305743836434,0.06287792866199625,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267531635,1.570796326847436,1.0,1.7416535289072707e-21,2.760395598024779e-21,1.0,-0.5,0.0,2.760395598024779e-21,2.760395598024779e-21,9.230212186172746e-11
